V	E	t_n	t_pq
100	200	0.00	0.00
100	675	0.00	398.40
100	1150	199.80	199.00
100	1625	199.40	0.00
100	2100	199.40	0.00
100	2575	0.00	0.00
100	3050	0.00	198.20
100	3525	0.00	201.60
100	4000	0.00	399.00
100	4475	0.00	399.00
100	4950	199.40	199.40
200	400	599.40	597.40
200	2350	798.00	399.00
200	4300	0.00	798.00
200	6250	0.00	399.00
200	8200	611.00	199.40
200	10150	598.80	598.00
200	12100	398.00	997.00
200	14050	598.20	1197.20
200	16000	598.80	598.20
200	17950	1194.40	601.00
200	19900	399.40	1396.20
300	600	199.20	797.60
300	5025	1199.00	596.20
300	9450	997.80	797.80
300	13875	398.80	1197.20
300	18300	1396.40	1196.20
300	22725	997.20	1397.60
300	27150	1397.00	1196.00
300	31575	1393.80	1199.40
300	36000	1594.20	1597.20
300	40425	1596.40	1994.40
300	44850	1795.60	1995.20
400	800	579.80	1433.60
400	8700	998.00	1208.60
400	16600	1186.00	1802.80
400	24500	1568.00	2425.00
400	32400	2394.00	2593.00
400	40300	2393.60	2593.80
400	48200	2205.80	2593.20
400	56100	3198.00	4182.20
400	64000	4725.60	3590.40
400	71900	4170.80	4013.40
400	79800	4993.40	5366.20
500	1000	1197.20	2193.40
500	13375	1995.60	2792.20
500	25750	2193.60	3379.60
500	38125	2204.80	3181.00
500	50500	4388.60	4399.40
500	62875	3989.20	3790.20
500	75250	6996.60	4599.00
500	87625	8974.20	6982.60
500	100000	5588.00	10170.00
500	112375	13242.40	5409.20
500	124750	8789.80	9761.60
600	1200	1794.80	2395.00
600	19050	2590.00	3390.80
600	36900	3207.20	3586.00
600	54750	4990.80	5987.20
600	72600	6582.80	7579.40
600	90450	6382.00	9832.60
600	108300	8240.60	9024.20
600	126150	12251.40	10377.60
600	144000	10173.80	8251.60
600	161850	6622.40	12018.00
600	179700	10968.60	15994.20
700	1400	437.60	3948.80
700	25725	4491.60	2865.40
700	50050	4689.80	2610.60
700	74375	5839.20	5616.80
700	98700	8566.20	5385.00
700	123025	7526.00	10110.60
700	147350	8700.20	11684.60
700	171675	14359.80	11963.80
700	196000	16588.80	13435.60
700	220325	13829.00	19982.40
700	244650	20937.00	21694.80
800	1600	3002.60	4177.60
800	33400	4396.00	5185.80
800	65200	8632.00	2222.20
800	97000	9138.40	8102.20
800	128800	8958.60	12197.80
800	160600	13351.80	13981.00
800	192400	17481.60	14746.00
800	224200	17869.00	18239.00
800	256000	24344.60	26775.00
800	287800	25914.60	21470.40
800	319600	24529.00	26178.20
900	1800	2964.40	6970.40
900	42075	7437.40	4525.60
900	82350	7650.00	7235.00
900	122625	10199.80	9928.20
900	162900	10898.20	14944.80
900	203175	18403.00	17450.00
900	243450	18798.00	21607.80
900	283725	24287.60	22190.00
900	324000	25163.80	30391.00
900	364275	28600.80	33755.00
900	404550	34914.20	36466.80
1000	2000	1030.20	6643.80
1000	51750	8479.20	10009.60
1000	101500	7990.80	11055.80
1000	151250	13090.80	13189.40
1000	201000	18048.00	18134.00
1000	250750	23173.80	23562.80
1000	300500	33135.20	30645.80
1000	350250	33898.40	37976.80
1000	400000	33503.20	37313.80
1000	449750	40403.20	38939.80
1000	499500	43308.60	43843.20
40.20
49.80	40512.00
80	36526.00

449750	19985.20	381711.00
1000	499500	16293.60	467813.40
15500.800000	220845.400000
900	1800	6588.000000	12959.800000
900	42075	7978.200000	63505.800000
900	82350	15602.200000	115090.000000
900	122625	12745.800000	110878.800000
900	162900	13231.200000	135745.400000
900	203175	15157.200000	166425.000000
900	243450	12293.000000	193935.800000
900	283725	20490.800000	248042.000000
900	324000	15008.800000	261648.600000
900	364275	18725.800000	318207.800000
900	404550	16773.000000	339989.600000
1000	2000	8378.800000	17162.400000
1000	51750	12149.400000	61096.800000
1000	101500	14684.000000	97540.800000
1000	151250	16693.200000	140360.000000
1000	201000	15282.400000	178752.800000
1000	250750	14446.000000	222383.600000
1000	300500	20258.200000	294155.200000
1000	350250	19543.000000	306321.200000
1000	400000	18867.200000	344455.000000
1000	449750	21371.400000	440677.000000
1000	499500	21982.600000	502190.400000
0000
