V	E	t_n	t_pq
100	200	1250.40	0.00
100	675	399.00	0.00
100	1150	199.80	399.00
100	1625	199.60	199.40
100	2100	0.00	398.80
100	2575	199.40	199.40
100	3050	199.40	399.20
100	3525	199.20	199.60
100	4000	0.00	398.60
100	4475	398.80	0.00
100	4950	0.00	399.00
200	400	199.20	798.60
200	2350	797.60	399.00
200	4300	598.00	1594.80
200	6250	598.40	1994.80
200	8200	602.20	1193.00
200	10150	398.60	1197.00
200	12100	799.00	1195.40
200	14050	797.60	1396.20
200	16000	398.60	1596.00
200	17950	996.60	1397.80
200	19900	798.00	1396.00
300	600	997.60	996.80
300	5025	597.80	2194.40
300	9450	798.20	2393.20
300	13875	1196.40	2195.00
300	18300	1397.20	2591.80
300	22725	1397.00	2592.20
300	27150	1196.40	3191.40
300	31575	1795.20	3191.80
300	36000	1996.60	3389.00
300	40425	2194.80	5783.80
300	44850	1596.20	4388.00
400	800	1197.00	2791.80
400	8700	1196.40	4388.60
400	16600	1994.80	4188.20
400	24500	1796.00	5983.40
400	32400	2591.60	4987.20
400	40300	2594.00	5385.00
400	48200	3392.40	8775.40
400	56100	2999.80	6383.00
400	64000	2791.80	7580.60
400	71900	3590.20	7979.00
400	79800	3985.60	8377.20
500	1000	3788.80	5585.60
500	13375	2591.80	6982.60
500	25750	2991.40	7181.60
500	38125	3184.80	8184.60
500	50500	3798.00	8958.40
500	62875	5585.40	10970.20
500	75250	3988.80	9375.00
500	87625	4588.40	9573.60
500	100000	4776.20	9584.60
500	112375	6184.20	11369.00
500	124750	6382.80	9374.80
600	1200	3789.80	5185.80
600	19050	4188.00	8578.20
600	36900	3989.20	15957.60
600	54750	5782.40	9973.00
600	72600	5785.40	11368.80
600	90450	6383.80	14360.60
600	108300	6184.40	13363.60
600	126150	5786.00	14160.60
600	144000	7571.80	15158.60
600	161850	7380.20	15558.60
600	179700	6372.40	14171.00
700	1400	5983.80	10371.20
700	25725	4587.20	13364.20
700	50050	6183.80	20943.60
700	74375	11968.00	23736.40
700	98700	9373.80	25133.00
700	123025	6981.40	18749.60
700	147350	8399.80	19525.20
700	171675	7986.40	18143.80
700	196000	8375.60	19341.60
700	220325	8559.00	18775.80
700	244650	9912.40	20347.40
800	1600	5982.80	8993.60
800	33400	6206.60	15136.60
800	65200	6581.60	20735.80
800	97000	7356.00	18366.60
800	128800	7590.60	22736.00
800	160600	8363.40	19754.60
800	192400	8976.20	23750.40
800	224200	10773.80	21550.80
800	256000	11179.60	21143.80
800	287800	12766.80	24534.40
800	319600	12366.40	24732.40
900	1800	8177.80	11369.80
900	42075	7181.00	25532.40
900	82350	9574.80	22738.80
900	122625	7992.80	26523.60
900	162900	9964.60	25541.40
900	203175	12965.80	26528.40
900	243450	12578.40	26751.60
900	283725	18265.80	36113.40
900	324000	23571.80	38384.80
900	364275	21924.60	34588.40
900	404550	13574.20	31094.20
1000	2000	8766.60	13972.60
1000	51750	9567.00	23742.60
1000	101500	12168.80	25131.40
1000	151250	12574.20	28317.20
1000	201000	12565.60	27916.20
1000	250750	13387.00	29617.20
1000	300500	14364.20	33560.60
1000	350250	15637.20	33102.40
1000	400000	15160.00	34405.80
1000	449750	17757.00	33745.00
1000	499500	18344.80	36526.00

449750	19985.20	381711.00
1000	499500	16293.60	467813.40
15500.800000	220845.400000
900	1800	6588.000000	12959.800000
900	42075	7978.200000	63505.800000
900	82350	15602.200000	115090.000000
900	122625	12745.800000	110878.800000
900	162900	13231.200000	135745.400000
900	203175	15157.200000	166425.000000
900	243450	12293.000000	193935.800000
900	283725	20490.800000	248042.000000
900	324000	15008.800000	261648.600000
900	364275	18725.800000	318207.800000
900	404550	16773.000000	339989.600000
1000	2000	8378.800000	17162.400000
1000	51750	12149.400000	61096.800000
1000	101500	14684.000000	97540.800000
1000	151250	16693.200000	140360.000000
1000	201000	15282.400000	178752.800000
1000	250750	14446.000000	222383.600000
1000	300500	20258.200000	294155.200000
1000	350250	19543.000000	306321.200000
1000	400000	18867.200000	344455.000000
1000	449750	21371.400000	440677.000000
1000	499500	21982.600000	502190.400000
0000
